#,INSTITUCION,TIPO DE ÓRGANO COLEGIADO,FECHA DE LA SESIÓN,ORDINARIA/EXTRAORDINARIA,Responsable,Año,ÓC
90,IMJUVE,JUNTA DIRECTIVA,14/03/2025,EXTRAORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
91,IMER,CONSEJO CIUDADANO,18/03/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
92,PRONABIVE,COCODI,18/03/2025,ORDINARIA,Tania,2025,COCODI
93,CONAVI,JUNTA DE GOBIERNO,19/03/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
94,FIDEMAR,COMITÉ TÉCNICO,19/03/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
95,CREFAL,CONSEJO DE ADMINISTRACIÓN,20/03/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
96,INAPAM,JUNTA DE GOBIERNO,20/03/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
97,IMSS,ASAMBLEA GENERAL,20/03/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
98,BIENESTAR,COCODI,20/03/2025,ORDINARIA,Tania,2025,COCODI
99,CIJ,PATRONATO NACIONAL,20/03/2025,EXTRAORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
100,INAI,COCODI,20/03/2025,ORDINARIA,Tania,2025,COCODI
101,SEDATU,COCODI,20/03/2025,ORDINARIA,Tania,2025,COCODI
102,CONADIS,JUNTA DE GOBIERNO,21/03/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
103,CONEVAL,COCODI,21/03/2025,ORDINARIA,Tania,2025,COCODI
104,FONAES,CONSEJO DE ADMINISTRACIÓN,21/03/2025,EXTRAORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
105,IMER,CONSEJO DIRECTIVO,21/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
106,DIF,COCODI,24/03/2025,ORDINARIA,Tania,2025,COCODI
107,LICONSA,CONSEJO DE ADMINISTRACIÓN,24/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
108,DICONSA,CONSEJO DE ADMINISTRACIÓN,24/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
109,CONAVI,JUNTA DE GOBIERNO,25/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
110,IMSS,H. CONSEJO TÉCNICO,25/03/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
111,INAPAM,JUNTA DE GOBIERNO,25/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
112,INDEP,JUNTA DE GOBIERNO,25/03/2025,EXTRAORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
113,INAPESCA,COCODI,25/03/2025,ORDINARIA,Esperanza,2025,COCODI
114,CONADIS,JUNTA DE GOBIERNO,26/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
115,IMSS-BIENESTAR,JUNTA DE GOBIERNO,26/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
116,INSUS,JUNTA DE GOBIERNO,26/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
117,CONAPO,COCODI,26/03/2025,ORDINARIA,Esperanza,2025,COCODI
118,ISSSTE,JUNTA DIRECTIVA,26/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
119,SEGOB,COCODI,26/03/2025,ORDINARIA,Tania,2025,COCODI
120,SCT,COCODI,26/03/2025,ORDINARIA,Tania,2025,COCODI
121,INFONACOT,CONSEJO DIRECTIVO,26/03/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
122,CIJ,JUNTA DE GOBIERNO,27/03/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
123,CONSAR,JUNTA DE GOBIERNO,27/03/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
124,SHCP,COCODI,27/03/2025,ORDINARIA,Tania,2025,COCODI
125,SFP,COCODI,27/03/2025,ORDINARIA,Tania,2025,COCODI
126,STPS,COCODI,27/03/2025,ORDINARIA,Tania,2025,COCODI
127,FOVISSSTE,JUNTA DIRECTIVA,27/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
128,SRE,COCODI,28/03/2025,ORDINARIA,Tania,2025,COCODI
129,SALUD,COCODI,28/03/2025,ORDINARIA,Tania,2025,COCODI
130,SEDENA,COCODI,28/03/2025,ORDINARIA,Tania,2025,COCODI
131,SEMAR,COCODI,28/03/2025,ORDINARIA,Tania,2025,COCODI
132,TURISSSTE,JUNTA DIRECTIVA,28/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
133,SUPERISSSTE,JUNTA DIRECTIVA,28/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
134,PENSIONISSSTE,COMISIÓN EJECUTIVA,28/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
135,Fovim,COMITÉ DE CRÉDITO,28/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
136,CNSF,JUNTA DE GOBIERNO,28/03/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
137,CNBV,JUNTA DE GOBIERNO,28/03/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
138,SEGALMEX,CONSEJO DE ADMINISTRACIÓN,28/03/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
139,ECONOMIA,COCODI,28/03/2025,ORDINARIA,Tania,2025,COCODI
140,CULTURA,COCODI,28/03/2025,ORDINARIA,Tania,2025,COCODI
141,EDUCACIÓN,COCODI,28/03/2025,ORDINARIA,Tania,2025,COCODI
142,CONADESUCA,JUNTA DIRECTIVA,01/04/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
143,IMIPAS,JUNTA DE GOBIERNO,10/04/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
144,CONAZA,COCODI,29/04/2025,ORDINARIA,Esperanza,2025,COCODI
